lon,lat,temperature_C
-111.929003749387,33.4317662095984,32.77813424
-111.928681066172,33.4317686263025,32.87725682
-111.928358382919,33.4317710421672,32.9934695000001
-111.928035699626,33.4317734571927,33.07208396
-111.929000866592,33.4314956527338,32.7131918600001
-111.928678184378,33.4314980694132,32.7200279
-111.928355502125,33.4315004852533,32.68926572
-111.928032819834,33.4315029002541,32.6345774
-111.928997983835,33.4312250958571,33.2156408
-111.928675302622,33.4312275125119,33.10626416
-111.92835262137,33.4312299283273,32.95587128
-111.92802994008,33.4312323433034,32.737118
-111.928995101117,33.4309545389685,34.40511176
-111.928672420905,33.4309569555985,34.23421076
-111.928349740654,33.4309593713893,33.90949886
-111.928027060365,33.4309617863408,33.62238518
-111.928992218438,33.4306839820677,36.10044968
-111.928669539226,33.4306863986732,35.9329667
-111.928346859976,33.4306888144392,35.62192688
-111.928024180688,33.430691229366,35.36215736
-111.928989335796,33.430413425155,39.81925544
-111.928666657586,33.4304158417357,39.72013286
-111.928343979337,33.4304182574771,39.49454354
-111.928021301049,33.4304206723793,39.3509867
